location,date,total_cases,total_vaccinations
Afghanistan,2021-06-27,111592.0,835694.0
Albania,2021-06-28,132513.0,943439.0
Algeria,2021-06-06,130958.0,2500000.0
Andorra,2021-06-21,13864.0,63265.0
Angola,2021-06-28,38613.0,1488292.0
Anguilla,2021-06-25,0.0,15789.0
Antigua and Barbuda,2021-06-26,1263.0,63931.0
Argentina,2021-06-28,4423636.0,19951580.0
Armenia,2021-06-14,223723.0,55557.0
Aruba,2021-06-28,0.0,125875.0
Australia,2021-06-28,30560.0,7374666.0
Austria,2021-06-28,650324.0,7537771.0
Azerbaijan,2021-06-28,335874.0,3349035.0
Bahamas,2021-06-19,12295.0,79246.0
Bahrain,2021-06-28,265477.0,2109775.0
Bangladesh,2021-06-28,896770.0,10099562.0
Barbados,2021-06-27,4075.0,164709.0
Belarus,2021-06-13,405663.0,1068413.0
Belgium,2021-06-28,1083478.0,10666126.0
Belize,2021-06-23,13083.0,106010.0
Benin,2021-06-28,8170.0,46108.0
Bermuda,2021-06-25,0.0,78413.0
Bhutan,2021-06-20,1924.0,484751.0
Bolivia,2021-06-28,435568.0,2450510.0
Bonaire Sint Eustatius and Saba,2021-04-09,0.0,7391.0
Bosnia and Herzegovina,2021-06-25,204945.0,456521.0
Botswana,2021-06-21,65808.0,219488.0
Brazil,2021-06-28,18448402.0,96913929.0
British Virgin Islands,2021-06-25,0.0,21403.0
Brunei,2021-06-26,259.0,76471.0
Bulgaria,2021-06-28,421646.0,1735675.0
Burkina Faso,2021-06-28,13479.0,25833.0
Cambodia,2021-06-28,48532.0,6957895.0
Cameroon,2021-06-28,80487.0,110324.0
Canada,2021-06-28,1421695.0,36199547.0
Cape Verde,2021-06-28,32399.0,82451.0
Cayman Islands,2021-06-28,0.0,93098.0
Central African Republic,2021-06-23,7139.0,78137.0
Chad,2021-06-23,4951.0,8981.0
Chile,2021-06-26,1542642.0,22494947.0
China,2021-06-28,91825.0,1206714000.0
Colombia,2021-06-27,4158716.0,17227818.0
Comoros,2021-06-08,3890.0,84360.0
Congo,2021-06-23,12404.0,102642.0
Cook Islands,2021-06-21,0.0,17556.0
Costa Rica,2021-06-22,355620.0,2331030.0
Cote d'Ivoire,2021-06-28,48203.0,745327.0
Croatia,2021-06-28,359666.0,2545040.0
Cuba,2021-06-26,179656.0,5591222.0
Curacao,2021-06-28,0.0,166942.0
Cyprus,2021-06-24,74174.0,777935.0
Czechia,2021-06-28,1666947.0,8008278.0
Democratic Republic of Congo,2021-06-28,40439.0,59443.0
